cutoff	queries	decoys	recov	tp	fp	tn	fn	prec	recall
0.0500	1740	1718	1740	3006	246	22595	20088	0.924354243542	0.130163678878
0.1000	1740	1718	1740	5004	1639	21202	18090	0.753274123137	0.216679657054
0.1500	1740	1718	1740	6614	3328	19513	16480	0.665258499296	0.286394734563
0.2000	1740	1718	1740	8112	5116	17725	14982	0.613244632598	0.35126006755
0.2500	1740	1718	1740	9726	6786	16055	13368	0.589026162791	0.421148350221
0.3000	1740	1718	1740	11230	8314	14527	11864	0.574600900532	0.48627349095
0.3500	1740	1718	1740	12714	9542	13299	10380	0.571261682243	0.550532605872
0.4000	1740	1718	1740	14292	10538	12303	8802	0.575594039468	0.618862042089
0.4500	1740	1718	1740	15780	11475	11366	7314	0.578976334618	0.683294362172
0.5000	1740	1718	1740	16978	12258	10583	6116	0.580722397045	0.735169308045
0.5500	1740	1718	1740	17978	13010	9831	5116	0.580160061959	0.778470598424
0.6000	1740	1718	1740	18938	13855	8986	4156	0.577501296008	0.820039837187
0.6500	1740	1718	1740	19834	14822	8019	3260	0.572310710988	0.858837793366
0.7000	1740	1718	1740	20690	15797	7044	2404	0.567051278538	0.89590369793
0.7500	1740	1718	1740	21498	16948	5893	1596	0.559173906258	0.930891140556
